id;start_date;updated_date;survey_id;status;device_type;1_¿Qué museo acabas de visitar?;2_La recepción y atención al público;3_La información: paneles, folletos, cartelas ...;4_El confort, el orden y la limpieza en la visita;5_La adaptación a visitantes con discapacidad ;6_Teniendo en cuenta toda su experiencia, ¿cuál es su valoración global con la visita  en una escala de 0 a 10, siendo “0”, totalmente insatisfactoria y “10”, totalmente satisfactoria;7_Nos encantaría recibir sus observaciones, comentarios o recomendaciones para ayudarnos a mejorar el servicio;8_¿Cuál es su grupo de edad?;9_¿Cuál es su sexo?
40563021;2023-10-18 08:37:40;2023-10-18 08:38:00;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40563022;2023-10-18 08:38:00;2023-10-18 08:38:22;311750;Completa;Desktop;Historia de Madrid;9;8;10;10;10;;;
40563023;2023-10-18 08:38:22;2023-10-18 08:38:43;311750;Completa;Desktop;Historia de Madrid;10;10;10;9;10;;De 18 a 25 años;Femenino
40563024;2023-10-18 08:38:43;2023-10-18 08:39:06;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Masculino
40563029;2023-10-18 08:39:07;2023-10-18 08:39:26;311750;Completa;Desktop;Historia de Madrid;10;9;9;8;9;;De 18 a 25 años;Femenino
40563031;2023-10-18 08:39:26;2023-10-18 08:39:49;311750;Completa;Desktop;Historia de Madrid;10;7;10;5;8;;De 18 a 25 años;Masculino
40563033;2023-10-18 08:39:49;2023-10-18 08:40:19;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Masculino
40563035;2023-10-18 08:40:19;2023-10-18 08:40:41;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Masculino
40563037;2023-10-18 08:40:41;2023-10-18 08:40:58;311750;Completa;Desktop;Historia de Madrid;8;6;8;;;;;
40563039;2023-10-18 08:40:59;2023-10-18 08:41:25;311750;Completa;Desktop;Historia de Madrid;10;7;10;10;8;;;
40563043;2023-10-18 08:41:25;2023-10-18 08:41:49;311750;Completa;Desktop;Historia de Madrid;10;8;10;9;9;;De 26 a 40 años;Masculino
40563046;2023-10-18 08:41:49;2023-10-18 08:42:14;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 18 a 25 años;Femenino
40563050;2023-10-18 08:42:14;2023-10-18 08:42:41;311750;Completa;Desktop;Historia de Madrid;9;8;9;9;9;;De 41 a 65 años;Femenino
40563052;2023-10-18 08:42:41;2023-10-18 08:43:05;311750;Completa;Desktop;Historia de Madrid;10;9;10;8;8;;Menos de 18 años;Femenino
40563056;2023-10-18 08:43:05;2023-10-18 08:43:30;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40563057;2023-10-18 08:43:31;2023-10-18 08:44:01;311750;Completa;Desktop;Historia de Madrid;9;8;8;8;8;;De 41 a 65 años;
40563059;2023-10-18 08:44:01;2023-10-18 08:44:28;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;10;;De 41 a 65 años;Femenino
40563062;2023-10-18 08:44:28;2023-10-18 08:44:47;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;;
40563063;2023-10-18 08:44:47;2023-10-18 08:45:16;311750;Completa;Desktop;Historia de Madrid;4;8;6;5;8;;Menos de 18 años;Femenino
40563069;2023-10-18 08:45:16;2023-10-18 08:45:41;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40563070;2023-10-18 08:45:41;2023-10-18 08:46:05;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Masculino
40563073;2023-10-18 08:46:05;2023-10-18 09:03:58;311750;Completa;Desktop;Historia de Madrid;9;9;10;6;10;;De 26 a 40 años;Femenino
40563126;2023-10-18 09:03:58;2023-10-18 09:04:26;311750;Completa;Desktop;Historia de Madrid;7;6;10;;6;;De 66 o más años;Masculino
40563127;2023-10-18 09:04:26;2023-10-18 09:04:54;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Masculino
40563128;2023-10-18 09:04:54;2023-10-18 09:05:24;311750;Completa;Desktop;Historia de Madrid;10;8;10;;9;;De 26 a 40 años;Masculino
40563129;2023-10-18 09:05:24;2023-10-18 09:05:46;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Femenino
40563130;2023-10-18 09:05:47;2023-10-18 09:06:14;311750;Completa;Desktop;Historia de Madrid;10;5;8;;10;;De 41 a 65 años;Otro
40563133;2023-10-18 09:06:14;2023-10-18 09:06:43;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Masculino
40563139;2023-10-18 09:06:43;2023-10-18 09:07:06;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;8;;De 66 o más años;Otro
40563143;2023-10-18 09:07:06;2023-10-18 09:07:28;311750;Completa;Desktop;Historia de Madrid;10;10;10;8;10;;Menos de 18 años;
40563144;2023-10-18 09:07:28;2023-10-18 09:08:00;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40563148;2023-10-18 09:08:00;2023-10-18 09:08:25;311750;Completa;Desktop;Historia de Madrid;9;8;9;7;9;;De 66 o más años;Masculino
40563150;2023-10-18 09:08:25;2023-10-18 09:08:55;311750;Completa;Desktop;Historia de Madrid;9;10;10;8;10;;Menos de 18 años;Masculino
40563152;2023-10-18 09:08:55;2023-10-18 09:09:25;311750;Completa;Desktop;Historia de Madrid;8;10;7;;8;;Menos de 18 años;Femenino
40563157;2023-10-18 09:09:25;2023-10-18 09:09:52;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40563160;2023-10-18 09:09:52;2023-10-18 09:10:16;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;
40563162;2023-10-18 09:10:16;2023-10-18 09:10:54;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;Menos de 18 años;Femenino
40563167;2023-10-18 09:10:54;2023-10-18 09:11:17;311750;Completa;Desktop;Historia de Madrid;10;9;10;8;9;;De 41 a 65 años;
40563169;2023-10-18 09:11:17;2023-10-18 09:11:49;311750;Completa;Desktop;Historia de Madrid;10;10;10;8;10;;De 26 a 40 años;Femenino
40563173;2023-10-18 09:11:49;2023-10-18 09:12:22;311750;Completa;Desktop;Historia de Madrid;8;6;;9;8;;De 26 a 40 años;Masculino
40563177;2023-10-18 09:12:22;2023-10-18 09:13:12;311750;Completa;Desktop;Historia de Madrid;9;9;9;9;9;;De 26 a 40 años;Femenino
40563180;2023-10-18 09:13:12;2023-10-18 09:13:40;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;10;;De 26 a 40 años;Femenino
40563182;2023-10-18 09:13:40;2023-10-18 09:14:00;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40563184;2023-10-18 09:14:00;2023-10-18 09:14:27;311750;Completa;Desktop;Historia de Madrid;10;10;10;8;10;;De 66 o más años;Masculino
40563185;2023-10-18 09:14:27;2023-10-18 09:14:54;311750;Completa;Desktop;Historia de Madrid;10;8;10;9;10;;De 41 a 65 años;Masculino
40563186;2023-10-18 09:14:54;2023-10-18 09:15:24;311750;Completa;Desktop;Historia de Madrid;10;5;10;9;8;;De 41 a 65 años;Femenino
40563193;2023-10-18 09:15:24;2023-10-18 09:15:48;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40563195;2023-10-18 09:15:48;2023-10-18 09:16:13;311750;Completa;Desktop;Historia de Madrid;10;10;10;;9;;;
40563273;2023-10-18 09:16:13;2023-10-18 09:16:34;311750;Completa;Desktop;Historia de Madrid;10;10;10;9;10;;De 41 a 65 años;Masculino
40563436;2023-10-18 09:16:35;2023-10-18 09:16:55;311750;Completa;Desktop;Historia de Madrid;10;10;10;6;9;;De 26 a 40 años;Femenino
40563438;2023-10-18 09:16:55;2023-10-18 09:17:17;311750;Completa;Desktop;Historia de Madrid;5;8;9;;9;;De 26 a 40 años;Femenino
40563439;2023-10-18 09:17:18;2023-10-18 09:17:43;311750;Completa;Desktop;Historia de Madrid;10;9;10;;;;;
40563440;2023-10-18 09:17:44;2023-10-18 09:18:07;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40563443;2023-10-18 09:18:08;2023-10-18 09:18:35;311750;Completa;Desktop;Historia de Madrid;10;9;10;6;10;;De 41 a 65 años;Masculino
40563570;2023-10-18 09:18:35;2023-10-18 09:18:58;311750;Completa;Desktop;Historia de Madrid;;;;;;;;
40563575;2023-10-18 09:18:59;2023-10-18 09:24:58;311750;Completa;Desktop;Historia de Madrid;10;9;10;;10;;;
40563594;2023-10-18 09:24:58;2023-10-18 09:25:58;311750;Completa;Desktop;Historia de Madrid;10;9;10;;10;;De 41 a 65 años;Otro
40563599;2023-10-18 09:25:58;2023-10-18 09:26:20;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 41 a 65 años;Femenino
40563600;2023-10-18 09:26:20;2023-10-18 09:26:38;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;;
40563601;2023-10-18 09:26:38;2023-10-18 09:27:10;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;;
40563606;2023-10-18 09:27:11;2023-10-18 09:27:33;311750;Completa;Desktop;Historia de Madrid;9;7;7;8;8;;De 26 a 40 años;Femenino
40563607;2023-10-18 09:27:33;2023-10-18 09:27:56;311750;Parcial;Desktop;Historia de Madrid;9;8;10;10;5;;De 18 a 25 años;
40563609;2023-10-18 09:27:56;2023-10-18 09:28:15;311750;Completa;Desktop;Historia de Madrid;8;5;9;;;;;
40563611;2023-10-18 09:28:15;2023-10-18 09:28:50;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40563614;2023-10-18 09:28:50;2023-10-18 09:29:09;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40563616;2023-10-18 09:29:09;2023-10-18 09:29:38;311750;Completa;Desktop;Historia de Madrid;10;9;10;;10;;De 41 a 65 años;Femenino
40563617;2023-10-18 09:29:38;2023-10-18 09:30:00;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Otro
40563619;2023-10-18 09:30:00;2023-10-18 09:30:25;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;
40563624;2023-10-18 09:30:25;2023-10-18 09:30:50;311750;Completa;Desktop;Historia de Madrid;10;10;8;10;9;;De 26 a 40 años;Otro
40563627;2023-10-18 09:30:50;2023-10-18 09:31:13;311750;Completa;Desktop;Historia de Madrid;9;8;10;;9;;De 26 a 40 años;
40563630;2023-10-18 09:31:13;2023-10-19 17:37:00;311750;Completa;Desktop;Historia de Madrid;5;10;10;7;10;;De 41 a 65 años;Femenino
40569059;2023-10-18 19:25:01;2023-10-18 19:27:35;311750;Completa;Mobile;Historia de Madrid;9;7;10;10;9;Multilingualism maybe electronic placards would be in order or perhaps a museum only website which has the titles and descriptions of each piece or stop;De 26 a 40 años;Masculino
40576084;2023-10-19 14:07:17;2023-10-19 14:08:50;311750;Completa;Mobile;Historia de Madrid;;;;;;;;
40588324;2023-10-19 17:37:00;2023-10-19 17:37:42;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;Nos gustaría ver videos;De 18 a 25 años;
40588338;2023-10-19 17:37:42;2023-10-19 17:38:11;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40588355;2023-10-19 17:38:11;2023-10-19 17:38:35;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;
40588360;2023-10-19 17:38:35;2023-10-19 17:39:04;311750;Completa;Desktop;Historia de Madrid;10;9;10;9;10;;De 18 a 25 años;Femenino
40588367;2023-10-19 17:39:04;2023-10-19 17:39:40;311750;Completa;Desktop;Historia de Madrid;5;8;10;7;9;;De 26 a 40 años;Femenino
40588383;2023-10-19 17:39:40;2023-10-19 17:40:05;311750;Completa;Desktop;Historia de Madrid;7;7;7;;8;;De 41 a 65 años;
40588395;2023-10-19 17:40:06;2023-10-19 17:40:33;311750;Completa;Desktop;Historia de Madrid;8;8;8;8;8;;;Masculino
40588403;2023-10-19 17:40:33;2023-10-19 17:40:58;311750;Completa;Desktop;Historia de Madrid;8;8;8;8;8;;De 41 a 65 años;Femenino
40588413;2023-10-19 17:40:58;2023-10-19 17:41:33;311750;Completa;Desktop;Historia de Madrid;10;9;10;10;10;;De 41 a 65 años;Femenino
40588419;2023-10-19 17:41:33;2023-10-19 17:41:56;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;
40588428;2023-10-19 17:41:56;2023-10-19 17:42:19;311750;Completa;Desktop;Historia de Madrid;10;10;10;9;10;;De 18 a 25 años;Masculino
40588434;2023-10-19 17:42:19;2023-10-19 17:42:44;311750;Completa;Desktop;Historia de Madrid;10;8;10;7;9;;De 26 a 40 años;Femenino
40588440;2023-10-19 17:42:44;2023-10-19 17:43:14;311750;Completa;Desktop;Historia de Madrid;10;9;10;9;9;;De 41 a 65 años;Masculino
40588450;2023-10-19 17:43:14;2023-10-19 17:44:08;311750;Completa;Desktop;Historia de Madrid;8;8;10;10;9;;De 26 a 40 años;Femenino
40588460;2023-10-19 17:44:08;2023-10-19 17:44:39;311750;Completa;Desktop;Historia de Madrid;9;10;10;;10;;De 26 a 40 años;Femenino
40588471;2023-10-19 17:44:39;2023-10-20 11:34:42;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40601713;2023-10-20 11:34:42;2023-10-20 11:35:08;311750;Completa;Desktop;Historia de Madrid;9;8;10;10;10;;De 41 a 65 años;Femenino
40601716;2023-10-20 11:35:08;2023-10-20 11:35:34;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40601720;2023-10-20 11:35:34;2023-10-20 11:35:58;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40601721;2023-10-20 11:35:58;2023-10-20 11:43:42;311750;Completa;Desktop;Historia de Madrid;7;6;6;7;7;;De 26 a 40 años;Masculino
40601768;2023-10-20 11:43:42;2023-10-20 11:44:13;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Masculino
40601770;2023-10-20 11:44:14;2023-10-20 11:44:38;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40601773;2023-10-20 11:44:38;2023-10-20 11:45:11;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;10;;De 18 a 25 años;Femenino
40601778;2023-10-20 11:45:11;2023-10-20 11:45:35;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 41 a 65 años;Femenino
40601779;2023-10-20 11:45:35;2023-10-20 11:46:25;311750;Completa;Desktop;Historia de Madrid;10;9;10;;9;;De 41 a 65 años;Femenino
40601783;2023-10-20 11:46:25;2023-10-20 11:46:55;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Otro
40601787;2023-10-20 11:46:55;2023-10-20 11:47:36;311750;Completa;Desktop;Historia de Madrid;9;6;10;;9;;De 41 a 65 años;Femenino
40601790;2023-10-20 11:47:36;2023-10-26 11:56:59;311750;Completa;Desktop;Historia de Madrid;10;9;10;;;;;
40602796;2023-10-20 14:32:49;2023-10-20 14:33:59;311750;Completa;Mobile;San Antonio de la Florida;10;;10;10;10;;De 66 o más años;Masculino
40616119;2023-10-22 12:11:53;2023-10-22 12:12:38;311750;Completa;Mobile;Arte Contemporáneo;10;10;10;;10;;De 66 o más años;Femenino
40647286;2023-10-23 20:15:14;2023-10-23 20:15:33;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40647295;2023-10-23 20:15:38;2023-10-23 20:16:03;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40647300;2023-10-23 20:16:08;2023-10-23 20:16:28;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;Menos de 18 años;Femenino
40647306;2023-10-23 20:16:33;2023-10-23 20:18:04;311750;Completa;Desktop;Historia de Madrid;9;10;10;;10;;De 26 a 40 años;Femenino
40647325;2023-10-23 20:18:08;2023-10-23 20:18:36;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;
40647334;2023-10-23 20:18:41;2023-10-23 20:19:13;311750;Completa;Desktop;Historia de Madrid;9;9;10;10;9;;De 18 a 25 años;Femenino
40647337;2023-10-23 20:19:18;2023-10-23 20:19:40;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40647341;2023-10-23 20:19:44;2023-10-23 20:20:05;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;;
40647347;2023-10-23 20:20:09;2023-10-23 20:20:28;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Masculino
40647352;2023-10-23 20:20:32;2023-10-23 20:20:56;311750;Completa;Desktop;Historia de Madrid;8;9;10;9;9;;De 26 a 40 años;Masculino
40647357;2023-10-23 20:20:59;2023-10-23 20:21:16;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 41 a 65 años;Femenino
40647361;2023-10-23 20:21:19;2023-10-23 20:21:39;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Otro
40647366;2023-10-23 20:21:41;2023-10-23 20:22:02;311750;Completa;Desktop;Historia de Madrid;9;9;9;;9;;De 41 a 65 años;Masculino
40647374;2023-10-23 20:22:04;2023-10-23 20:22:21;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;
40647377;2023-10-23 20:22:23;2023-10-23 20:22:45;311750;Completa;Desktop;Historia de Madrid;10;10;10;9;10;;De 66 o más años;Femenino
40647381;2023-10-23 20:22:46;2023-10-23 20:23:09;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40647386;2023-10-23 20:23:10;2023-10-23 20:23:36;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;10;;De 18 a 25 años;Femenino
40647392;2023-10-23 20:23:36;2023-10-23 20:23:59;311750;Completa;Desktop;Historia de Madrid;10;9;10;10;8;;De 18 a 25 años;Femenino
40647395;2023-10-23 20:23:59;2023-10-23 20:24:34;311750;Completa;Desktop;Historia de Madrid;9;7;8;7;8;;De 26 a 40 años;Otro
40647407;2023-10-23 20:24:34;2023-10-23 20:25:01;311750;Completa;Desktop;Historia de Madrid;9;8;9;10;9;;De 41 a 65 años;Femenino
40647412;2023-10-23 20:25:01;2023-10-23 20:25:27;311750;Completa;Desktop;Historia de Madrid;8;10;10;10;10;;De 26 a 40 años;Masculino
40647416;2023-10-23 20:25:27;2023-10-23 20:25:56;311750;Completa;Desktop;Historia de Madrid;9;10;10;10;9;;Menos de 18 años;Femenino
40647423;2023-10-23 20:25:57;2023-10-23 20:26:32;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 18 a 25 años;Femenino
40647433;2023-10-23 20:26:33;2023-10-23 20:26:57;311750;Completa;Desktop;Historia de Madrid;9;9;9;5;9;;De 26 a 40 años;
40647440;2023-10-23 20:26:57;2023-10-23 20:27:44;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 26 a 40 años;Femenino
40647457;2023-10-23 20:27:44;2023-10-23 20:36:39;311750;Completa;Desktop;Historia de Madrid;8;10;10;7;10;;De 66 o más años;Masculino
40647552;2023-10-23 20:36:39;2023-10-23 20:37:04;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Femenino
40647556;2023-10-23 20:37:04;2023-10-23 20:37:59;311750;Completa;Desktop;Historia de Madrid;9;8;9;8;9;;De 66 o más años;Femenino
40647564;2023-10-23 20:37:59;2023-10-23 20:38:35;311750;Completa;Desktop;Historia de Madrid;10;9;9;9;10;;De 66 o más años;Masculino
40647570;2023-10-23 20:38:35;2023-10-23 20:39:01;311750;Completa;Desktop;Historia de Madrid;9;10;10;10;10;;De 26 a 40 años;Masculino
40647574;2023-10-23 20:39:02;2023-10-23 20:39:42;311750;Completa;Desktop;Historia de Madrid;9;6;9;10;9;;De 41 a 65 años;Femenino
40647585;2023-10-23 20:39:42;2023-10-23 20:40:10;311750;Completa;Desktop;Historia de Madrid;7;9;10;10;9;;De 26 a 40 años;Femenino
40647591;2023-10-23 20:40:10;2023-10-23 20:40:38;311750;Completa;Desktop;Historia de Madrid;10;7;9;9;10;;De 18 a 25 años;Otro
40647596;2023-10-23 20:40:38;2023-10-23 20:41:03;311750;Completa;Desktop;Historia de Madrid;9;10;10;10;10;;De 26 a 40 años;Masculino
40647599;2023-10-23 20:41:03;2023-10-23 20:41:42;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;Menos de 18 años;Femenino
40647606;2023-10-23 20:41:42;2023-10-23 20:42:19;311750;Completa;Desktop;Historia de Madrid;10;7;10;10;10;;Menos de 18 años;Femenino
40647616;2023-10-23 20:42:19;2023-10-23 20:42:47;311750;Completa;Desktop;Historia de Madrid;0;0;10;;;;;
40647618;2023-10-23 20:42:47;2023-10-23 20:43:28;311750;Completa;Desktop;Historia de Madrid;10;9;9;9;9;;De 66 o más años;Femenino
40647624;2023-10-23 20:43:28;2023-10-23 20:43:53;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40647629;2023-10-23 20:43:53;2023-10-23 20:44:20;311750;Completa;Desktop;Historia de Madrid;9;10;10;7;9;;Menos de 18 años;Masculino
40647634;2023-10-23 20:44:20;2023-10-23 20:44:49;311750;Completa;Desktop;Historia de Madrid;10;9;10;7;9;;Menos de 18 años;Femenino
40647640;2023-10-23 20:44:49;2023-10-23 20:45:25;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Masculino
40647648;2023-10-23 20:45:25;2023-10-23 20:45:51;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Masculino
40647652;2023-10-23 20:45:51;2023-10-23 20:46:43;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;Menos de 18 años;Masculino
40647660;2023-10-23 20:46:43;2023-10-23 20:47:06;311750;Completa;Desktop;Historia de Madrid;10;10;10;;;;;
40647666;2023-10-23 20:47:06;2023-10-23 20:47:33;311750;Completa;Desktop;Historia de Madrid;10;10;10;4;9;;De 41 a 65 años;Masculino
40647672;2023-10-23 20:47:33;2023-10-23 20:48:11;311750;Completa;Desktop;Historia de Madrid;9;10;10;9;10;;Menos de 18 años;Femenino
40647677;2023-10-23 20:48:11;2023-10-23 20:48:52;311750;Completa;Desktop;Historia de Madrid;0;0;0;0;0;;Menos de 18 años;Otro
40647681;2023-10-23 20:48:52;2023-10-23 20:49:15;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;;
40647685;2023-10-23 20:49:15;2023-10-23 20:49:38;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 66 o más años;Femenino
40647688;2023-10-23 20:49:38;2023-10-23 20:50:08;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;10;;De 41 a 65 años;Femenino
40647691;2023-10-23 20:50:08;2023-10-23 20:50:33;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40647699;2023-10-23 20:50:33;2023-10-23 20:51:11;311750;Completa;Desktop;Historia de Madrid;8;2;8;7;6;;De 66 o más años;Masculino
40647705;2023-10-23 20:51:11;2023-10-23 20:51:38;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40647711;2023-10-23 20:51:39;2023-10-23 20:52:17;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;8;;De 41 a 65 años;Masculino
40647723;2023-10-23 20:52:17;2023-10-23 20:52:45;311750;Completa;Desktop;Historia de Madrid;10;5;8;;9;;Menos de 18 años;Femenino
40647730;2023-10-23 20:52:45;2023-10-23 20:53:32;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;
40647741;2023-10-23 20:53:32;2023-10-23 20:54:22;311750;Completa;Desktop;Historia de Madrid;8;7;7;9;10;;De 41 a 65 años;Otro
40647746;2023-10-23 20:54:22;2023-10-23 20:54:45;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;
40647750;2023-10-23 20:54:45;2023-10-23 20:55:14;311750;Completa;Desktop;Historia de Madrid;10;8;10;10;;;De 66 o más años;Masculino
40647753;2023-10-23 20:55:14;2023-10-23 20:55:20;311750;Completa;Desktop;Historia de Madrid;;;;;;;;
40647754;2023-10-23 20:55:20;2023-10-23 20:56:19;311750;Completa;Desktop;Historia de Madrid;10;9;10;;10;;De 41 a 65 años;Femenino
40647764;2023-10-23 20:56:19;2023-10-23 20:56:48;311750;Completa;Desktop;Historia de Madrid;10;9;10;7;9;;De 41 a 65 años;Femenino
40647770;2023-10-23 20:56:48;2023-10-23 21:20:44;311750;Completa;Desktop;Historia de Madrid;10;10;10;;10;;De 41 a 65 años;Femenino
40648030;2023-10-23 21:20:44;2023-10-23 21:21:09;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Masculino
40648034;2023-10-23 21:21:09;2023-10-23 21:21:46;311750;Completa;Desktop;Historia de Madrid;6;4;7;;2;;De 66 o más años;Masculino
40664350;2023-10-24 16:01:53;2023-10-24 16:04:15;311750;Completa;Mobile;San Antonio de la Florida;5;2;10;10;7;Il faudrait des explications en anglais et en Francais;De 41 a 65 años;Masculino
40691736;2023-10-26 11:56:59;2023-10-26 11:57:26;311750;Completa;Desktop;Historia de Madrid;10;9;10;;9;;De 18 a 25 años;Femenino
40691740;2023-10-26 11:57:26;2023-10-26 11:57:59;311750;Completa;Desktop;Historia de Madrid;8;9;10;;8;;De 18 a 25 años;Otro
40691744;2023-10-26 11:57:59;2023-10-26 11:58:20;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 26 a 40 años;Femenino
40691745;2023-10-26 11:58:20;2023-10-26 11:58:50;311750;Completa;Desktop;Historia de Madrid;10;10;10;8;10;;De 41 a 65 años;Masculino
40691752;2023-10-26 11:58:51;2023-10-26 12:01:07;311750;Completa;Desktop;Historia de Madrid;8;10;10;10;10;;De 26 a 40 años;
40691765;2023-10-26 12:01:07;2023-10-26 12:01:34;311750;Completa;Desktop;Historia de Madrid;7;7;8;;7;;De 26 a 40 años;Masculino
40691768;2023-10-26 12:01:34;2023-10-26 12:02:02;311750;Completa;Desktop;Historia de Madrid;9;10;10;;10;;De 26 a 40 años;Femenino
40691773;2023-10-26 12:02:02;2023-10-26 12:03:06;311750;Completa;Desktop;Historia de Madrid;0;3;8;2;0;;De 41 a 65 años;
40691779;2023-10-26 12:03:06;2023-10-26 12:03:33;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40691782;2023-10-26 12:03:33;2023-10-26 12:09:48;311750;Completa;Desktop;Historia de Madrid;8;10;10;;9;;De 26 a 40 años;Masculino
40691829;2023-10-26 12:09:48;2023-10-26 12:10:28;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;De 41 a 65 años;Femenino
40691832;2023-10-26 12:10:28;2023-10-26 12:10:54;311750;Completa;Desktop;Historia de Madrid;10;10;10;10;10;;Menos de 18 años;Femenino
40691835;2023-10-26 12:10:54;2023-10-26 12:11:14;311750;Completa;Desktop;Historia de Madrid;10;9;10;10;9;;De 41 a 65 años;Femenino
